Corruption,Severity,Acc,Class Acc
occlusion,1,0.4947325769854133,0.5356046511627908
occlusion,2,0.5692868719611021,0.5892732558139535
occlusion,3,0.5684764991896273,0.593203488372093
occlusion,4,0.48905996758508913,0.5318255813953489
occlusion,5,0.4286871961102107,0.4730290697674418
lidar,1,0.47811993517017826,0.4870697674418604
lidar,2,0.5818476499189628,0.5733662790697674
lidar,3,0.5899513776337115,0.5827267441860464
lidar,4,0.49432739059967584,0.5140116279069767
lidar,5,0.42098865478119935,0.439203488372093
density_inc,1,0.9035656401944895,0.8597093023255813
density_inc,2,0.9027552674230146,0.8567616279069767
density_inc,3,0.899513776337115,0.8552209302325583
density_inc,4,0.8978930307941653,0.8549709302325581
density_inc,5,0.8962722852512156,0.8495523255813954
density,1,0.9043760129659644,0.8660116279069768
density,2,0.9051863857374393,0.856546511627907
density,3,0.8954619124797407,0.8504767441860466
density,4,0.8914100486223663,0.8461395348837207
density,5,0.8849270664505673,0.8477732558139536
cutout,1,0.9039708265802269,0.8607151162790698
cutout,2,0.8999189627228525,0.855889534883721
cutout,3,0.8938411669367909,0.8455988372093023
cutout,4,0.8772285251215559,0.8287325581395348
cutout,5,0.8654781199351702,0.8154825581395351
uniform,1,0.9059967585089141,0.8637151162790697
uniform,2,0.8974878444084279,0.8550465116279071
uniform,3,0.8820907617504052,0.8356744186046511
uniform,4,0.8585899513776337,0.8029767441860465
uniform,5,0.8387358184764991,0.7709767441860466
gaussian,1,0.9015397082658023,0.859139534883721
gaussian,2,0.880064829821718,0.8278488372093022
gaussian,3,0.8626418152350082,0.8032616279069767
gaussian,4,0.8249594813614263,0.7562325581395349
gaussian,5,0.7836304700162074,0.7134593023255814
impulse,1,0.7601296596434359,0.7010523255813953
impulse,2,0.7423014586709886,0.6801453488372092
impulse,3,0.6981361426256077,0.622860465116279
impulse,4,0.656807131280389,0.5633546511627907
impulse,5,0.5676661264181524,0.47133720930232553
upsampling,1,0.8715559157212318,0.8177674418604652
upsampling,2,0.8650729335494327,0.8040581395348838
upsampling,3,0.8589951377633711,0.7988081395348837
upsampling,4,0.8456239870340356,0.783267441860465
upsampling,5,0.8322528363047001,0.7674418604651162
background,1,0.6511345218800648,0.5832441860465115
background,2,0.6304700162074555,0.5557093023255814
background,3,0.5984602917341977,0.5244244186046512
background,4,0.5510534846029174,0.4604011627906977
background,5,0.42301458670988656,0.3590406976744186
rotation,1,0.910453808752026,0.8716686046511628
rotation,2,0.8978930307941653,0.8523430232558139
rotation,3,0.8727714748784441,0.8267674418604651
rotation,4,0.8322528363047001,0.7780406976744185
rotation,5,0.6284440842787682,0.5742906976744186
shear,1,0.9088330632090762,0.8680872093023255
shear,2,0.9059967585089141,0.8643430232558138
shear,3,0.8962722852512156,0.8529360465116278
shear,4,0.8784440842787682,0.8288255813953489
shear,5,0.8585899513776337,0.802796511627907
distortion,1,0.906807131280389,0.8689709302325582
distortion,2,0.9027552674230146,0.8605465116279069
distortion,3,0.8910048622366289,0.8377558139534884
distortion,4,0.8695299837925445,0.8222325581395349
distortion,5,0.8314424635332253,0.7892965116279068
distortion_rbf,1,0.9100486223662885,0.8696686046511628
distortion_rbf,2,0.899513776337115,0.852720930232558
distortion_rbf,3,0.8893841166936791,0.8363895348837209
distortion_rbf,4,0.8585899513776337,0.8061511627906978
distortion_rbf,5,0.8205024311183144,0.775389534883721
distortion_rbf_inv,1,0.910453808752026,0.868796511627907
distortion_rbf_inv,2,0.9039708265802269,0.8630930232558139
distortion_rbf_inv,3,0.8942463533225283,0.8509767441860465
distortion_rbf_inv,4,0.8727714748784441,0.8275174418604652
distortion_rbf_inv,5,0.8338735818476499,0.7789593023255813
